"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C2,C3,C4,C10,C11,C14,C15,C16,C18,C19,C20,C21,C22,C24,C25,C26,C27,C1";"C_0402_5MIL_DWS";18;"100nF/10V/X5R /20%/0402";;;
2;"C5";"C_0805_5MIL_DWS";1;"100nF/50V/Y5V/20%";;;
3;"C6";"C_0402_5MIL_DWS";1;"NA";;;
4;"C7,C8";"C_0402_5MIL_DWS";2;"39pF/C0G/50VDC/0402";;;
5;"C9";"C_1206_5MIL_DWS_ISO";1;"1nF/2000V/10%/X7R/1206";;;
6;"C12,C17";"C_0603_5MIL_DWS";2;"2.2uF/X5R/6.3V/10%/0603";;;
7;"FB1";"L_0805_5MIL_DWS";1;" 600OHM/2A/UPZ2012E-601-2R0TF/0805";;;
8;"R2,R3";"R_0402_5MIL_DWS";2;"22R/0402";;;
9;"R4";"R_0805_5MIL_DWS";1;"10R/0805";;;
10;"R5,R6,R10,R13,R14";"R_0402_5MIL_DWS";5;"NA";;;
11;"R9,R11";"R_0402_5MIL_DWS";2;"2.2K/0402";;;
12;"U2";"SO-8";1;"NA(93LC46)";;;
13;"";"LOGO_RECYCLEBIN_1";1;"";;;
14;"U3";"QFN48-6x6mm-OLIMEX_V2";1;"RTL8153VC-CG";;;
15;"X1";"Oscillator-18.432MHz-3.2x2.5mm";1;"25MHz/20ppm/20pF/4P/3225";;;
16;"R1,R7";"R_0402_5MIL_DWS";2;"1K/0402";;;
17;"R8";"R_0402_5MIL_DWS";1;"2.49K/1%/0402";;;
18;"L1";"CD32";1;"2.2uH/NRS3015T2R2MNGH";;;
19;"R12,R15";"R_0402_5MIL_DWS";2;"1.1K/1%/0402";;;
20;"U4";"SOT-23-5";1;"SY8089AAAC";;;
21;"FID1,FID2";"Fiducial1x3";2;"Fiducial";;;
22;"FID4,FID3";"Fiducial1x3_Paste";2;"Fiducial";;;
23;"";"LOGO_OPENHARDWARE_8x8";1;"";;;
24;"";"LOGO_PBFREE";1;"";;;
25;"LAN1";"TM211Q01FM22";1;"TM211Q01FM22(LPJG16402AQNL)";;;
26;"USB1";"USB3_A_MALE";1;"USB1065";;;
27;"Sign_CE";"CE_Sign";1;"CE_Sign";;;
28;"Sign_Antistatic";"Sign_Antistatic";1;"Sign_Antistatic";;;
29;"Logo_OLIMEX_TB";"Logo_OLIMEX_TB";1;"Logo_OLIMEX_TB";;;
30;"Sign_RoHS_1";"Sign_RoHS_1";1;"Sign_RoHS_1";;;
